Time (s),OUT (V),IN (V),hand (V)
-0.001364825,-0.1473916124300631,-0.461533166227693,-0.07177498880837831
-0.001363225,-0.06844359386940353,-0.4841581730095996,-0.07177498880837831
-0.001361625,0.001732422628960548,-0.4882718106063099,-0.03040499465212589
-0.001360025,0.06094343654945524,-0.4697604414211136,-0.03040499465212589
-0.001358425,0.1289264525322454,-0.4327377030507209,-0.03040499465212589
-0.001356825,0.1771724638748707,-0.3772035954951319,-0.03040499465212589
-0.001355225,0.1662074612970014,-0.3052149375527017,-0.03040499465212589
-0.001353625,0.1530494582035581,-0.2208853668201406,-0.03040499465212589
-0.001352025,0.1267334520166716,-0.1262717020958038,-0.03040499465212589
-0.001350425,0.08725944273634177,-0.02960121857311179,-0.03040499465212589
-0.001348825,0.03243442984699484,0.07323972134464565,-0.03040499465212589
-0.001347225,-0.03335558562022149,0.1657965672706273,-0.03040499465212589
-0.001345625,-0.1013386016030117,0.2604102319949642,-0.03040499465212589
-0.001344025,-0.1386196103677676,0.3365125275341047,-0.03040499465212589
-0.001342425,-0.257041638208757,0.4043875478798246,-0.03040499465212589
-0.001340825,-0.3557266614095815,0.4475807426452827,-0.03040499465212589
-0.001339225,-0.4368676804858149,0.4784330246206099,-0.03040499465212589
-0.001337625,-0.5092366974997529,0.4866602998140305,-0.03040499465212589
-0.001336025,-0.5706407119358214,0.4763762058222548,-0.03040499465212589
-0.001334425,-0.6188867232784467,0.4434671050485724,-0.03040499465212589
-0.001332825,-0.6452027294653333,0.3941034538880488,-0.03040499465212589
-0.001331225,-0.6188867232784467,0.3241716147439738,-0.03040499465212589
-0.001329625,-0.6452027294653333,0.243955681608123,-0.03040499465212589
-0.001328025,-0.6408167284341856,0.1513988356821413,-0.03040499465212589
-0.001326425,-0.6101147212161513,0.05472835215944931,-0.03040499465212589
-0.001324825,-0.561868709873526,-0.04605576895995298,-0.03040499465212589
-0.001323225,-0.4982716949218835,-0.1447830712810001,-0.03040499465212589
-0.001321625,-0.4237096773923717,-0.2352830984086267,-0.03040499465212589
-0.001320025,-0.3425686583161382,-0.3196126691411877,-0.03040499465212589
-0.001318425,-0.2548486376931831,-0.3854308706885525,-0.03040499465212589
-0.001316825,-0.1715146181013757,-0.4389081594457864,-0.03040499465212589
-0.001315225,-0.09475960005629007,-0.4718172602194687,-0.03040499465212589
