Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg)
1759.572072072072,4.560658177090919e-05,31.5480428177407,5.876140571019342e-05,66.66033100342725
1781.566722972973,4.341981841591358e-05,35.9266455122316,5.426758547274959e-05,78.20841960158435
1803.561373873874,2.267721777366052e-05,82.37058127307179,3.56982990641787e-05,72.88990489303893
1825.556024774775,3.286479941747912e-05,139.2590398035806,3.228535222585561e-05,24.8369033841666
1847.550675675676,3.108357176540689e-05,157.4782573038694,4.095614304836708e-05,170.7516455868141
1869.545326576577,2.419887059905732e-05,156.6865949665906,3.034374156904841e-05,133.9041502389732
1891.539977477477,2.128731232504029e-05,139.180609325242,1.053382219302653e-05,64.08102740391203
1913.534628378378,1.59585055679598e-05,4.416146457200061,2.861707612119297e-05,146.6817256672003
1935.529279279279,2.615759243715087e-05,28.9187327725835,5.972626497220469e-05,146.825755893695
1957.52393018018,8.377776886902491e-05,138.5414832155675,8.780110944808137e-05,141.9030177213723
1979.518581081081,0.0005249949211122208,128.8887964561489,9.391599841462896e-05,131.5892489942087
2001.513231981982,0.001357518823207466,129.5178253853225,6.928997124556225e-05,127.800871811544
2023.507882882883,0.001623303883008468,130.2055439386791,3.287535244197965e-05,142.2765759479757
2045.502533783784,0.0009047622472378711,131.1144733257542,1.277514836241082e-05,36.14532716421505
2067.497184684685,0.0001904314707135749,134.9318431639217,3.105035583579116e-05,111.1458214671258
2089.491835585586,2.364783752321472e-05,95.03805864125994,4.890012490441852e-05,119.1522093772126
2111.486486486487,2.19673334725108e-05,93.59068282093948,3.847846587559704e-05,102.2992465081951
2133.481137387387,2.023592869326951e-05,164.2608855168805,2.544420620257793e-05,47.3580413656989
2155.475788288288,4.008269446574268e-05,159.2530078643909,2.417214680830904e-05,6.708220031278884
2177.470439189189,4.061985540732431e-05,0.6876160741689028,1.255116789074753e-05,167.0778545147807
2199.46509009009,2.839592261827329e-05,34.05368062608512,1.745360508134304e-06,0.6402998229073698
2221.459740990991,3.709709029275417e-05,96.93065826749236,1.513990769588077e-05,86.78262507166627
2243.454391891892,6.234445342526002e-05,118.0501208426925,2.508144641399494e-05,105.2429357726211
2265.449042792793,6.092087188168761e-05,143.1870317784012,2.725460890308228e-05,173.6419579020121
2287.443693693694,5.888652727386251e-05,10.16726990807042,4.918592479311743e-05,25.60592899312857
2309.438344594595,6.083357201033185e-05,44.73510954706255,3.991729934551871e-05,31.41729869608286
2331.432995495496,4.536630397443475e-05,86.26677854702525,1.308441830535597e-05,58.64329030590809
2353.427646396397,5.287219236977706e-05,126.3159910195233,1.058158821814105e-05,70.75165774515374
2375.422297297297,5.508880283646824e-05,116.5957253998457,3.289581541032552e-05,47.95186871035053
2397.416948198198,4.412515572071729e-05,69.60914646029707,5.409436400159332e-05,50.97908949940966
2419.411599099099,5.912391445901353e-05,17.89343330078319,4.948439830577762e-05,50.23344449488208
2441.40625,7.118652036882738e-05,7.808256249449657,2.404985126533464e-05,50.00433563050203
2463.400900900901,5.14241880818278e-05,17.0075527983854,1.209053698907746e-05,89.90082884992985
2485.395551801802,2.513572067961146e-05,29.17427767305084,2.42467015883002e-05,75.11687578371814
2507.390202702702,1.872854198489563e-05,163.6672356619219,3.416272118554036e-05,43.99547153841546
2529.384853603603,3.232406110722303e-05,148.2519087817111,3.751317327495624e-05,25.79679054840927
2551.379504504504,3.753161403904854e-05,10.70855092943142,5.575199865247848e-05,37.54073460196825
2573.374155405405,7.158989728503704e-05,49.15397492654,8.551806362422717e-05,42.59847534676149
2595.368806306306,8.86737061853864e-05,56.66924364794171,9.304418506438265e-05,37.42968326288904
2617.363457207207,6.791058089603922e-05,53.36293546359816,7.73026509273174e-05,27.89018919213324
2639.358108108108,3.569282996930967e-05,45.29069484720919,3.919287814541188e-05,13.25049235976246
2661.352759009009,1.623081406433152e-05,9.933851506251871,1.07851308116452e-05,69.09854524793549
2683.34740990991,2.386966642026375e-05,172.5635057732662,2.123645981742883e-05,3.578142633764128
2705.342060810811,3.393647129309308e-05,29.67676132247843,3.410171466825886e-05,101.2308992598488
2727.336711711712,4.81876281924572e-05,52.82415947006782,6.207373911661581e-05,73.10233208254975
2749.331362612613,5.072497080267598e-05,51.16649029927745,6.408391796696982e-05,58.1110094204089
2771.326013513513,4.144255133894082e-05,50.01033372252473,4.954031845599022e-05,47.5193023208794
2793.320664414414,2.869550263672328e-05,56.896007918338,2.856197956871419e-05,28.77494434315922
2815.315315315315,1.800492788172215e-05,66.35137706200607,1.836030830218894e-05,162.6321518951713
2837.309966216216,2.289563590566948e-05,88.35438951212979,1.354523976331176e-05,44.76760695339657
2859.304617117117,4.893181714147576e-05,93.55248918019015,4.352493119060433e-05,87.54832995867856
2881.299268018018,6.695147619441902e-05,89.95608209727541,5.089551224639149e-05,93.58409429011219
2903.293918918919,5.498864831599901e-05,70.40737358234344,2.547236389635112e-05,75.37258705292885
2925.28856981982,5.248633115059296e-05,29.19462038430363,2.64192628672653e-05,154.6964359263825
2947.283220720721,5.523459955035884e-05,12.29541689562958,4.116642481987733e-05,129.4869568491993
2969.277871621622,3.617374098885702e-05,5.451367844544249,3.709343071815993e-05,129.0578595495386
2991.272522522523,2.022559024962797e-05,34.11820598784814,2.796206651048399e-05,166.5555284821342
3013.267173423423,6.509242838126772e-05,66.95763488438324,3.557820972106925e-05,44.18361891082314
